source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,Marín contará con cuatro playas de bandera azul pero Loira vuelve a quedar relegada del distintivo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9052,2025-05-09,1146,"Cinco distintivos de calidad, cuatro de bandera azul y uno para el Centro de Interpretación de los Petróglifos de Mogor, vuelven a poner al municipio marinense en un buen nivel de aceptación medioambiental",2025-05,2025
Carriola de Marín,"Cantodarea celebró por todo lo alto la fiesta religiosa del Patrón, San Xosé Obreiro con Misa matinal y Procesión vespertina - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9005,2025-05-02,1138,"El buen tiempo siguió al infernal de la víspera y la parroquia de San Xosè de Cantodarea vivió con emoción la fiesta religiosa de su PatrónSan Xosé Obreiro, con la celebración de la misa matinal y la procesión por la tarde acompañada de la banda de música de la Brilat",2025-05,2025
Carriola de Marín,La obra del Auditorio tendrá tres meses de prórroga según informó el gobierno local hoy a la corporación - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9107,2025-05-20,1131,Una prórroga de tres meses de plazo pararematar la obra delAuditorioserá concedida por el Pleno Extraordinario que al efecto se celebrará el próximo jueves en el concello y de ello fueron informados ya los grupos de la corporación municipal,2025-05,2025
Carriola de Marín,El Concello trata de impulsar la construcción de una nueva residencia de mayores tras la remodelación de la actual - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9135,2025-05-25,1127,"La actual Residencia de Mayores que tiene ya bastantes años de funcionamiento, está siendo remodelada para adaptarla a las mejoras en la eficiencia energética y al nuevo modelo asistencial y hace un año se puso en funcionamiento el Centro de Día en la antigua Casa del Mar pero es evidente que se necesita una nueva residencia por la creciente demanda de atención a los mayores",2025-05,2025
Carriola de Marín,Más de 500 deportistas de varios países participan este finde semana en el “Open Villa de Marín” de boxeo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9000,2025-05-01,1126,"Quinientos boxeadores de todas las categorías inscritos para realizar más de 400 combates es el dato que deja bien a las claras la importancia del evento deportivo que se va a celebrar en Marín hoy, mañana y el sábado con participación de púgiles de diversos países como Portugal y Canadá y, por supuesto, España, todo ello de la mano del Team Thunder marinense que cuenta con el decidido apoyo del Concello",2025-05,2025
Carriola de Marín,“Blue Merrow” presentará próximamente su nuevo disco “Navagio” y prepara para fin de año su L.P. - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9078,2025-05-13,1115,“Blue Merrow” presentará próximamente su nuevo disco “Navagio” y prreapra para fin de año su L.P.,2025-05,2025
Carriola de Marín,Fallece Don LUIS PÉREZ FANDIÑO  a los 76 años de edad - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9138,2025-05-25,1087,"La funeraria LA FE comunica el fallecimiento HOY día25de mayo de donLUIS PÉREZ FANDIÑOcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, de Marín, sala número1,hasta el momento de su traslado,MAÑANA LUNESdía26de mayo a lasSIETEde la tardepara su incineración en el crematorio Terras de Pontevedra en la intimidad familiar.",2025-05,2025
Carriola de Marín,CARRIOLA DA OPINIÓN: O día dos Maios - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9001,2025-05-01,1068,Marín vive dun xeito especial a tradicional festa dos maios que ven desde os primeiros tempos da humanidade como celebración do despertar na Natureza e o canto que homes e mulleres fixeron sempre dun ou outro xeito a este cíclico fenómeno anual,2025-05,2025
Carriola de Marín,Doce establecimientos de hostelería participarán en la nueva edición del “Marín Pincho a Pincho” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9093,2025-05-18,1061,La asociación “Botón de Ancla” que preside Manuel Area tiene ya todo a punto para la celebración del “Marín Pincho a Pincho” que será entre los días 5 y 8 del próximo mes de junio con la participación de doce establecimientos con sus respectivas especialidades.,2025-05,2025
Carriola de Marín,Los vecinos de Pereiro y Cadrelo se preparan para celebrar la popular y tradicional fiesta de “San Dego” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9034,2025-05-07,1060,"El próximo fin de semana se celebrarán las fiestas de “San Dego”, fraile franciscano que se venera en la capilla ubicada en uno de los puntos más altos de Marín y que guarda una curiosa y entrañable historia",2025-05,2025
Carriola de Marín,Recogen a un perrito al parecer perdido y buscan a sus dueños para entregárselo   - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9126,2025-05-23,1055,,2025-05,2025
Carriola de Marín,Fallece Don LAUREANO RODRÍGUEZ DOMÍNGUEZ a los 103 años de edad - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9062,2025-05-10,1015,"La funeraria SAN MARCOS comunica el fallecimiento ayer día9de mayo de donLAUREANO RODRÍGUEZ DOMÍNGUEZcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, de Marín, sala número1hasta el momento de su traslado,HOY SÁBADOdía10de mayo a lasCUATRO MENOS CUARTO DE LA TARDEal cementerio municipal de A Raña.",2025-05,2025
Carriola de Marín,"El panteón de las Hijas de la Caridad, en A Raña, acogerá mañana jueves los restos mortales de Sor Matilde Gauna - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9116,2025-05-21,1011,"Los restos mortales de la Hija de la Caridad de San Vicente de Paúl, Sor Matilde Gauna Fernández de Gaceo fallecida en la pasada noche, permanecerán en el tanatorio San Marcos de Marín, sala número1,  hasta mañana jueves a las11de la mañana, momento en que serán trasladados al panteón que la comunidad religiosa tiene en el cementerio municipal de A Raña para su inhumación.",2025-05,2025
Carriola de Marín,Las obras en la Rúa da Ponte avanzan para completar la remodelación iniciada en Cantodarea por Concepción Arenal - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9050,2025-05-09,1011,La Alcaldesa de Marínacompañada del concejal Pablo Novas y el ingeniero municipal visitó ayer las obras de la Rúa da Ponte (antigua Bastarreche) entrevistándose en las mismas con personal técnico de la Xunta de Galicia que es la administración que ejecuta los trabajos al ser una vía de su titularidad.,2025-05,2025
