source,date,link,n_comments,title,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Diario de Pontevedra,2025-06-01T15:08:01.346998,https://www.diariodepontevedra.es/articulo/o-morrazo/marin-bueu-empapan-espiritu-navideno/202412052021011332568.html,0,Marín y Bueu se empapan de espíritu navideño,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:08:15.590840,https://www.diariodepontevedra.es/articulo/o-morrazo/declaracion-lago-castineiras-como-espazo-natural-interese-local-dilata/202412051043081332395.html,0,La declaración del Lago Castiñeiras como Espazo Natural de Interese Local se dilata,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:09:01.571860,https://www.diariodepontevedra.es/articulo/o-morrazo/carpa-parque-eguren-acogera-cuarta-edicion-marin-gaming/202412041135131332308.html,0,La carpa del Parque Eguren acoge este fin de semana la cuarta edición del Marín Gaming,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:09:37.705410,https://www.diariodepontevedra.es/articulo/o-morrazo/corona-gigante-luces-led-sera-protagonista-navidad-marin/202412032005191332243.html,0,La corona gigante en honor a Leonor será la protagonista de la Navidad en Marín,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:10:33.309653,https://www.diariodepontevedra.es/articulo/o-morrazo/presupuesto-concello-marin-2025-rondara-18-millones/202412031429271332137.html,0,El presupuesto del Concello de Marín para 2025 rondará los 18 millones,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:11:12.766121,https://www.diariodepontevedra.es/articulo/o-morrazo/susto-astillero-nodosa-conato-incendio-buque/202412031341411332153.html,0,Susto en en el astillero de Nodosa por un conato de incendio en un buque,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:11:29.710443,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/imua-nova-experiencia-marin/202412030941321332053.html,0,"Imua, unha nova experiencia en Marín",,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:11:46.350385,https://www.diariodepontevedra.es/articulo/o-morrazo/inquietud-vecinal-aumento-robos-rural-marin/202412030907591332069.html,0,Inquietud vecinal por el aumento de robos en el rural de Marín,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:12:03.148940,https://www.diariodepontevedra.es/articulo/o-morrazo/marin-club-futbol-rinde-homenaje-gruponogar-mas-35-anos-colaboracion/202412021227161331964.html,0,El Marín Club de Fútbol rinde homenaje al GrupoNogar por más de 35 años de colaboración,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:12:39.195179,https://www.diariodepontevedra.es/articulo/o-morrazo/aparatoso-accidente-marin-deja-luz-vecinos/202412021107331331942.html,0,Un aparatoso accidente en Marín deja sin luz a un buen número de vecinos de A Moreira,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:12:48.935802,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/peixegalego-evita-sorpresas-ourense/202412021016001331875.html,0,68-87. El Marín Peixegalego evita sorpresas en Ourense,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:13:25.611703,https://www.diariodepontevedra.es/articulo/o-morrazo/marin-presenta-proxecto-renovar-climatizacion-da-piscina-municipal/202412011041591331820.html,0,Marín presenta un proxecto para renovar a climatización da piscina municipal,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2024-11-29T19:20:00,https://www.diariodepontevedra.es/articulo/o-morrazo/princesa-leonor-gran-ausente-jura-bandera-escuela-naval-militar-marin/202411291920251331709.html,0,"La princesa Leonor, la gran ausente en la jura de bandera en la Escuela Naval Militar de Marín",,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
