source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,"Davinia Lojo, número 5 en la lista municipal del BNG, aspira a convertirse en diputada en Madrid el 23J - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5149,2023-06-21,1464,"El responsable del BNG en Marín,Xurxo Agra, destaca que“Davinia Lojo é unha muller tremendamente válida, que cos seus 32 anos posúe unha amplísima formación e experiencia, e fortemente comprometida e involucrada coa conservación do medio mariñoe,este nomeamento ratifica o excelente momento que está a vivir o BNG marinense, e constata que amais de catro grandes representantes na Corporación municipal, contamos cunha equipa extraordinaria.”",2023-06,2023
Carriola de Marín,El PP rechaza convertir la dársena pesquera en un museo de embarcaciones tradicionales - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6007,2023-11-12,1462,"Nos parece inconcebible que el María Ramallo insista en realizar una piscina de agua salada absolutamente innecesaria, en lugar de convertir la dársena en un museo flotante con embarcaciones tradicionales. Pretende eliminar el último espacio marinero que existe en Marín, con lo que ello supone de pérdida de identidad y de patrimonio. Es una aberración suya que lamentaremos todos.",2023-11,2023
Carriola de Marín,O BNG pide unha rstauración urxente do parque dos Sentidos polo estado de abandono no que se atopa - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5623,2023-09-13,1448,"Lucía Santos, manifesta que “o Parque dos Sentidos é unha zona verde urbana única, que atrae a centos de visitantes pola súa orixinalidade, mais debido á falta de mantemento apropiada, na actualidade as instalacións e a finca presentan un evidente estado de abandono.”",2023-09,2023
Carriola de Marín,María Ramallo destaca su acción de gobierno durante los cien primeros días de mandato en esta legislatura - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5709,2023-09-24,1440,"“O primeiro que quixemos facer-indicó Ramallo-foi marcar a estratexia, marcar unhas metase por iso, aprobamos aAxenda Urbanaque marcará o camiño coa súa diagnose, estratexia e plan de accióne, apartir de aí, toca ir avanzando nos proxectos esenciais para a vila”.",2023-09,2023
Carriola de Marín,O BNG denuncia as deficiencias nos servizos sanitarios e a falta de pediatras durante as vacacións de Nadal - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6245,2023-12-30,1426,,2023-12,2023
Carriola de Marín,Las alevines del club “La Peña” viajan a Zaragoza tras haberse clasificado como campeonas gallegas - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5060,2023-06-03,1418,"La alcaldesa María Ramallo en compañía de los concejales de deportes Antonio Traba y Antonio Caiña, recibieron a las chicas del club “La Peña” clasificadas para el Campeonato de España que se celebra en Zaragoza este fin de semana",2023-06,2023
Carriola de Marín,O BNG de Marín expresa a súa preocupación polos constantes desafíos na xestión das obras públicas - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6074,2023-11-25,1403,,2023-11,2023
Carriola de Marín,María Ramallo asegura que antes de fin de año solventarán el pago de gran parte de las facturas pendientes - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6072,2023-11-24,1398,"No hace muchos días publicamos en Carriola un escrito del PSOE denunciando los retrasos en el pago de facturas a proveedores por parte del gobierno local de Marín. Pues aprovechando la comparecencia de la alcaldesa por otro motivo, le preguntamos por esa situación y, aún reconociendo que hay un retraso superior a otros años, también lo justifica con varias razones",2023-11,2023
Carriola de Marín,El Museo do Mar recibe varias obras para sucontenido realizadas por los alumnos de la escuela “A Aixola” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5230,2023-07-07,1391,"La directora  del Centro tecnológico  del Mar, Paloma Rueda en presencia de la alcaldesa de Marín, María Ramallo, hizo entrega de varias de las obras resultantes de los trabajos realizados por los alumnos de los distintos cursos que se imparten en “A Aixola”",2023-07,2023
Carriola de Marín,Preocupación do BNG pola xestión económica do Goberno Municipal de Marín - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5888,2023-10-22,1390,(*)Lucia Santos Omilé aPortavoz do grupo municipal do BNG de Marín.,2023-10,2023
